bath,bed,garden,mq,name,parking,pool,price,province,region,town,town2,type,url
2,2,,,"Massa-Carrara, Tuscany",,,280000,Massa-Carrara,Tuscany,,,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-podenzana-toscana-italy-arcata2395larch/
4,4,,250,"Livorno, Tuscany",1,1,1300000,Livorno,Tuscany,"Rosignano Marittimo, Livorno, Toskana, Italien",,Villa,https://www.italianhousesforsale.com/property-in-italy/beautiful-villa-with-unique-panoramic-views/
2,3,,,"Pisa, Tuscany",,,125000,Pisa,Tuscany,,,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-castelnuovo-di-val-di-cecina-toscana-italy-casaorlando2454larch/
2,2,,150,"Ancona, Le Marche",,,198000,Ancona,Le Marche,"Piazza D. Manin, Fabriano",,Apartament,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-fabriano-ancona-marche-cbi160-2598-126/
10,10,,1120,"Terni Città, Terni, Umbria",,,,Terni,Umbria,"Terni, Umbria, Italia",Terni Città,Villa,https://www.italianhousesforsale.com/property-in-italy/luxury-villa-completely-renovated-with-terrace-and-exclusive-view-of-the-waterfall/
6,7,,,"Castiglione d'Orcia, Tuscany, Tuscany",,,2600000,Tuscany,Tuscany,,Castiglione d'Orcia,Country House,https://www.italianhousesforsale.com/property-in-italy/residential-for-sale-tuscany-castiglione-dorcia-v620825-x/
5,4,,545,"Castiglione d'Orcia, Siena, Tuscany",,,750000,Siena,Tuscany,,Castiglione d'Orcia,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-gro3240/
2,2,,120,"Montepulciano, Siena, Tuscany",,,160000,Siena,Tuscany,,Montepulciano,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-mtp2886/
2,3,,380,"Sarteano, Siena, Tuscany",,,490000,Siena,Tuscany,,Sarteano,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-sar2138/
18,18,,1000,"Arezzo, Tuscany",1,1,2500000,Arezzo,Tuscany,"Cortona, Arezzo, Toskana, Italien",,Agriturismo,https://www.italianhousesforsale.com/property-in-italy/renovated-property-in-a-strategic-location/
3,5,,250,"Cortona, Arezzo, Tuscany",1,1,425000,Arezzo,Tuscany,"Cortona, Arezzo, Toscana, Italia",Cortona,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/charming-stone-farmhouse-with-swimming-pool-on-the-border-between-tuscany-and-umbria/
10,10,,500,"Grosseto, Tuscany",1,1,750000,Grosseto,Tuscany,"Massa Marittima, Grosseto, Toskana, 58024, Italien",,Agriturismo,https://www.italianhousesforsale.com/property-in-italy/fantastic-property-near-the-sea/
3,3,,330,"Servigliano, Fermo, Le Marche",1,,390000,Fermo,Le Marche,Contrada Mulino 19,Servigliano,End Terrace House,https://www.italianhousesforsale.com/property-in-italy/lion-house-2/
1,2,,80,"Arezzo, Tuscany",,,195000,Arezzo,Tuscany,"Montevarchi, Arezzo, Toskana, Italien",,Apartament,https://www.italianhousesforsale.com/property-in-italy/bright-apartment-in-the-center-of-montevarchi/
3,3,,240,"Assisi, Perugia, Umbria",,,1190000,Perugia,Umbria,"Assisi, Perugia, Umbria, 06081, Italia",Assisi,Apartament,https://www.italianhousesforsale.com/property-in-italy/noble-apartment-with-neoclassical-frescoes-in-the-heart-of-assisi/
,,,,"Cremia, Como, Lombardia",,,119000,Como,Lombardia,,Cremia,RESTHOF,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-cremia-lombardei-93625_374341_co-141/
3,3,,,"Sirmione, Brescia, Lombardy",,,890000,Brescia,Lombardy,,Sirmione,Villa,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-sirmione-sirmione-93625_374401_sv-6464/
7,6,,1162,"Perugia, Perugia, Umbria",1,,2800000,Perugia,Umbria,"Perugia, Umbria, Italia",Perugia,Villa,https://www.italianhousesforsale.com/property-in-italy/majestic-noble-historic-villa-in-monte-tezio/
3,3,,300,"Pomarance, Pisa, Tuscany",,,345000,Pisa,Tuscany,Pomarance,Pomarance,House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-pomarance-3-bedrooms-house-independent-tuscany-for-sale-a7631rv2493595a/
1,1,,49,"Monte Argentario, Grosseto, Tuscany",,,350000,Grosseto,Tuscany,Monte Argentario,Monte Argentario,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-monte-argentario-1-bedroom-flat-tuscany-for-sale-a1190ra90105/
3,2,,146,"Città della Pieve, Perugia, Umbria",,,220000,Perugia,Umbria,,Città della Pieve,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-perugia-umbria-cdp1213/
10,9,,503,"Pienza, Siena, Tuscany",,,1490000,Siena,Tuscany,,Pienza,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-pnz3025/
2,2,,160,"San Vincenzo, Livorno, Tuscany",,,455000,Livorno,Tuscany,San Vincenzo,San Vincenzo,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-san-vincenzo-2-bedrooms-flat-tuscany-for-sale-a3165ra2476252a/
1,1,,100,"Pescia, Pistoia, Tuscany",,,269000,Pistoia,Tuscany,Pescia,Pescia,Villa,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-pescia-1-bedroom-villa-tuscany-for-sale-a6551rv2493208a/
4,4,,350,"Sarteano, Siena, Tuscany",,,1000000,Siena,Tuscany,Sarteano,Sarteano,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-sarteano-4-bedrooms-farmhouse-tuscany-for-sale-a1190rc99719/
1,1,,61,"Capoliveri, Livorno, Tuscany",,,270000,Livorno,Tuscany,Capoliveri,Capoliveri,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-capoliveri-1-bedroom-flat-tuscany-for-sale-a9591is001/
3,3,,295,"Cecina, Livorno, Tuscany",,,568000,Livorno,Tuscany,Cecina,Cecina,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-cecina-3-bedrooms-farmhouse-tuscany-for-sale-a9591mf112/
1,2,,91,"Catania, Catania, Sicily",,,170000,Catania,Sicily,,Catania,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-catania-sicilia-italy-app-principe-nicola-catania-pis/
1,,,36,"Palermo, Palermo, Sicily",,,120000,Palermo,Sicily,,Palermo,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-palermo-sicilia-italy-appartamento-porto-palermo-pis/
1,3,,,"Montepulciano, Siena, Tuscany",,,650000,Siena,Tuscany,,Montepulciano,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-montepulciano-siena-tuscany-ge9766/
0,0,,,"Montalcino, Siena, Tuscany",,,2000000,Siena,Tuscany,,Montalcino,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-montalcino-siena-tuscany-ge9793/
1,2,,,"Castiglione Messer Raimondo, Teramo, Abruzzo",,,85000,Teramo,Abruzzo,,Castiglione Messer Raimondo,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-abruzzo-teramo-castiglione-messer-raimondo-el1109/
1,1,,62,"Noto, Siracusa, Sicily",,,180000,Siracusa,Sicily,,Noto,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-noto-sicilia-italy-villetta-arcobaleno-noto-pis/
2,4,,283,"Realmonte, Agrigento, Sicily",,,400000,Agrigento,Sicily,,Realmonte,Villa,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-realmonte-sicilia-italy-villa-alfonso-scala-dei-turchi-pis/
1,1,,62,"Trabia, Palermo, Sicily",,,160000,Palermo,Sicily,,Trabia,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-trabia-sicilia-italy-casa-ilona-trabia-pis/
1,2,,84,"Santa Flavia, Palermo, Sicily",,,135000,Palermo,Sicily,,Santa Flavia,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-santa-flavia-sicilia-italy-casa-michele-porticello-pis/
3,3,,,"Arcidosso, Grosseto, Tuscany",,,750000,Grosseto,Tuscany,,Arcidosso,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-arcidosso-grosseto-tuscany-ge9567/
4,6,,,"Orvieto, Terni, Umbria",,,430000,Terni,Umbria,,Orvieto,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-orvieto-terni-umbria-ge9724/
2,2,,,"Castiglione del Lago, Perugia, Umbria",,,630000,Perugia,Umbria,,Castiglione del Lago,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-castiglione-del-lago-perugia-umbria-ge9740/
13,19,,,"Castiglione del Lago, Umbria, Tuscany",,,1600000,Umbria,Tuscany,,Castiglione del Lago,Country House,https://www.italianhousesforsale.com/property-in-italy/residential-for-sale-tuscany-castiglione-del-lago-v620225-x/
4,3,,,"Seggiano, Grosseto, Tuscany",,,700000,Grosseto,Tuscany,,Seggiano,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-seggiano-grosseto-tuscany-ge9566/
6,5,,,"Cetona, Siena, Tuscany",,,1900000,Siena,Tuscany,,Cetona,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-cetona-siena-tuscany-ge9629/
3,4,,,"Scansano, Grosseto, Tuscany",,,420000,Grosseto,Tuscany,,Scansano,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-scansano-grosseto-tuscany-ge9717/
1,1,,,"Scansano, Grosseto, Tuscany",,,150000,Grosseto,Tuscany,,Scansano,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-scansano-grosseto-tuscany-ge9721/
3,4,,,"Amelia, Terni, Umbria",,,430000,Terni,Umbria,,Amelia,Country House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-amelia-terni-umbria-ge9529/
7,8,,458,"Sarteano, Siena, Tuscany",,,3200000,Siena,Tuscany,,Sarteano,Country House,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-siena-toscana-val1216/
2,3,,375,"Treia, Macerata, Le Marche",1,,390000,Macerata,Le Marche,"Contrada San Lorenzo, San Lorenzo di Treia, Treia, Macerata, Italia",Treia,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/casali-dolci-colline-code-s9161/
2,2,,,"Costermano sul Garda, Verona, Veneto",,,399000,Verona,Veneto,,Costermano sul Garda,Beds:,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-costermano-sul-garda-costermano-sul-garda-93625_373385_gv0159/
2,3,,,"Garda, Verona, Veneto",,,1590000,Verona,Veneto,,Garda,Beds:,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-garda-garda-93625_374281_gv0161/
10,19,,1400,"Grosseto, Grosseto, Tuscany",1,1,1950000,Grosseto,Tuscany,"Gavorrano, Grosseto, Toscana, 58023, Italia",Grosseto,Country Estate,https://www.italianhousesforsale.com/property-in-italy/charming-estate-located-in-the-heart-of-maremma-farmhouse-winery-and-d-o-c-maremma-vineyard/
1,1,,82,"Monteleone d'Orvieto, Terni, Umbria",,,160000,Terni,Umbria,,Monteleone d'Orvieto,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-terni-umbria-mnt3323/
4,4,,572,"Passignano sul Trasimeno, Perugia, Umbria",,,750000,Perugia,Umbria,,Passignano sul Trasimeno,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-perugia-umbria-pas2793/
2,3,,175,"Cortona, Arezzo, Tuscany",,,350000,Arezzo,Tuscany,,Cortona,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-in-italy-arezzo-toscana-cor2190/
3,3,,150,"San Biagio Platani, Agrigento, Sicily",,,69000,Agrigento,Sicily,"San Biagio Platani, Agrigento, Sicilia, 92020, Italia",San Biagio Platani,Townhouse,https://www.italianhousesforsale.com/property-in-italy/townhouse-in-sicily-casa-marino-san-biagio-platani/
3,3,,360,"Santo Stefano Quisquina, Agrigento, Sicily",,,350000,Agrigento,Sicily,"Via Roma, Santo Stefano Quisquina, Agrigento, Sicilia, 92020, Italia",Santo Stefano Quisquina,Townhouse,https://www.italianhousesforsale.com/property-in-italy/panoramic-townhouse-in-sicily-casa-giordano-santo-stefano/
3,3,,245,"Alessandria della Rocca, Agrigento, Sicily",,,100000,Agrigento,Sicily,"Via Roma, Alessandria della Rocca, Agrigento, Sicilia, 92010, Italia",Alessandria della Rocca,Townhouse,https://www.italianhousesforsale.com/property-in-italy/townhouse-in-sicily-casa-pecoraro-via-roma-alessandria/
2,2,,95,"Follonica, Grosseto, Tuscany",,,370000,Grosseto,Tuscany,Follonica,Follonica,Apartment,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-follonica-2-bedrooms-flat-tuscany-for-sale-a7631ra2294069a/
7,5,,340,"Cossignano, AscoliPiceno, Le Marche",1,1,750000,Ascoli Piceno,Le Marche,"Contrada Gallo, Cossignano, Ascoli Piceno, Marche, 63067, Italia",Cossignano,Country House,https://www.italianhousesforsale.com/property-in-italy/casale-vista-infinita/
2,2,,155,"Montalcino, Siena, Tuscany",,,525000,Siena,Tuscany,"Sant'Angelo in Colle, Montalcino, Siena, Toscana, Italia",Montalcino,Detached House,https://www.italianhousesforsale.com/property-in-italy/between-the-tracks-of-time/
2,2,,167,"Siena, Tuscany",1,1,546000,Siena,Tuscany,"San Casciano dei Bagni, Unione dei Comuni Valdichiana Senese, Siena, Toscana, Italia",,Apartament,https://www.italianhousesforsale.com/property-in-italy/elegance-and-luxury-in-tuscany-exclusive-apartment-with-panoramic-view/
4,3,,324,"Brescia, Lombardy",1,,775000,Brescia,Lombardy,"Via Don Giuseppe Giavarini, Fantasina, Cellatica, Brescia, Lombardia, 25060, Italia",,Villa,https://www.italianhousesforsale.com/property-in-italy/modern-residence-in-the-tranquility-of-franciacorta/
1,2,,66,"Cianciana, Agrigento, Sicily",,,49000,Agrigento,Sicily,"Cianciana, Corso Commendator Nicolò Cinquemani Arcuri, Cianciana, Agrigento, Sicilia, 92012, Italia",Cianciana,Apartament,https://www.italianhousesforsale.com/property-in-italy/apt-in-sicily-apt-rosa-corso-cinquemani/
,0,,85,"Rosignano Marittimo, Livorno, Tuscany",,,339000,Livorno,Tuscany,Rosignano Marittimo,Rosignano Marittimo,House,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-rosignano-marittimo-building-tuscany-for-sale-a9591vc006/
5,5,,400,"Cortona, Arezzo, Tuscany",,,980000,Arezzo,Tuscany,Cortona,Cortona,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-cortona-5-bedrooms-farmhouse-tuscany-for-sale-a1190rc19410/
1,1,,777,"Suvereto, Livorno, Tuscany",,,1400000,Livorno,Tuscany,Suvereto,Suvereto,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-suvereto-1-bedroom-farmhouse-tuscany-for-sale-a6756ta2081173a/
1,1,,736,"Montecatini Val di Cecina, Pisa, Tuscany",,,550000,Pisa,Tuscany,Montecatini Val Di Cecina,Montecatini Val di Cecina,Farmhouse,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-montecatini-val-di-cecina-1-bedroom-farmhouse-tuscany-for-sale-a9591mr132/
2,2,,240,"Massarosa, Lucca, Tuscany",,,370000,Lucca,Tuscany,Massarosa,Massarosa,Villa,https://www.italianhousesforsale.com/property-in-italy/property-for-sale-in-massarosa-2-bedrooms-villa-tuscany-for-sale-a7707rv2494864a/
